day,sec,event,value
0,0,system on,
0,0,battery,
0.00
0,601,measurement,
0,601,battery,0.00
0,601,charging,0
0,1202,measurement,
0,1202,battery,0.00
0,1202,charging,0
0,1803,measurement,
0,1803,battery,0.00
0,1803,charging,0
0,2404,measurement,
0,2404,battery,0.00
0,2404,charging,0
