day,sec,name,value
1,81736,0,783.00
1,81736,0,783.00
1,81736,1,776.00
1,81736,0,783.00
1,81736,0,783.00
1,81736,0,783.00
1,81736,0,783.00
1,81736,1,777.00
1,81736,0,783.00
1,81736,0,783.00
1,81736,1,776.00
1,81736,0,783.00
1,81736,1,777.00
1,81736,1,776.00
1,81736,1,776.00
1,81736,0,783.00
1,81736,0,783.00
1,81736,0,782.00
1,81736,1,777.00
1,81736,0,783.00
1,82337,add,536871428
1,82337,1,777.00
1,82337,1,776.00
1,82337,1,776.00
1,82337,0,783.00
1,82337,1,776.00
1,82337,1,776.00
1,82337,0,783.00
1,82337,1,776.00
1,82337,1,776.00
1,82337,1,776.00
1,82337,1,776.00
1,82337,0,783.00
1,82337,0,783.00
1,82337,0,783.00
1,82337,1,776.00
1,82337,0,782.00
1,82337,1,776.00
1,82337,1,776.00
1,82337,1,776.00
1,82337,0,783.00
1,82337,1,776.00
1,82337,1,776.00
1,82337,0,783.00
1,82337,1,776.00
1,82337,0,783.00
1,82337,0,783.00
1,82337,0,783.00
1,82337,1,776.00
1,82337,1,776.00
1,82337,1,777.00
1,82337,0,783.00
1,82337,1,776.00
1,82337,add,536871556
1,82337,1,776.00
1,82337,1,776.00
1,82337,1,776.00
1,82337,0,783.00
1,82337,1,776.00
1,82337,1,776.00
1,82337,0,783.00
1,82337,1,776.00
1,82337,1,776.00
1,82337,1,776.00
1,82337,1,776.00
1,82337,0,783.00
1,82337,0,783.00
1,82337,0,783.00
1,82337,1,776.00
1,82337,0,783.00
1,82337,0,783.00
1,82337,0,783.00
1,82337,0,783.00
1,82337,1,776.00
1,82337,0,783.00
1,82337,0,782.00
1,82337,1,776.00
1,82337,0,783.00
1,82337,1,776.00
1,82337,1,776.00
1,82337,1,776.00
1,82337,0,783.00
1,82337,0,783.00
1,82337,0,783.00
1,82337,1,776.00
1,82337,0,783.00
1,82938,add,536871428
1,82938,1,777.00
1,82938,1,776.00
1,82938,1,776.00
1,82938,0,783.00
1,82938,1,776.00
1,82938,1,776.00
1,82938,0,783.00
1,82938,1,776.00
1,82938,1,776.00
1,82938,1,776.00
1,82938,1,776.00
1,82938,0,783.00
1,82938,0,783.00
1,82938,0,783.00
1,82938,1,776.00
1,82938,0,783.00
1,82938,1,776.00
1,82938,1,776.00
1,82938,1,776.00
1,82938,0,783.00
1,82938,1,776.00
1,82938,1,776.00
1,82938,0,783.00
1,82938,1,776.00
1,82938,0,783.00
1,82938,0,783.00
1,82938,0,783.00
1,82938,1,776.00
1,82938,1,777.00
1,82938,1,776.00
1,82938,0,783.00
1,82938,1,776.00
1,82938,add,536871556
1,82938,1,776.00
1,82938,1,777.00
1,82938,1,776.00
1,82938,0,783.00
1,82938,1,776.00
1,82938,1,776.00
1,82938,0,783.00
1,82938,1,776.00
1,82938,1,776.00
1,82938,1,776.00
1,82938,1,777.00
1,82938,0,783.00
1,82938,0,783.00
1,82938,0,783.00
1,82938,1,776.00
