day,sec,event,value
4,0,battery,3.81
4,0,charging,1
4,901,measurement,
4,901,battery,3.72
4,901,charging,1
4,1802,measurement,
4,1802,battery,3.72
4,1802,charging,1
4,2703,measurement,
4,2703,battery,3.79
4,2703,charging,1
4,3604,measurement,
4,3604,battery,3.73
4,3604,charging,1
4,4505,measurement,
4,4505,battery,3.73
4,4505,charging,1
4,5406,measurement,
4,5406,battery,3.73
4,5406,charging,1
4,6307,measurement,
4,6307,battery,3.80
4,6307,charging,1
4,7208,measurement,
4,7208,battery,3.80
4,7208,charging,1
4,8109,measurement,
4,8109,battery,3.81
4,8109,charging,1
4,9010,measurement,
4,9010,battery,3.81
4,9010,charging,1
4,9911,measurement,
4,9911,battery,3.80
4,9911,charging,1
4,10812,measurement,
4,10812,battery,3.80
4,10812,charging,1
4,11713,measurement,
4,11713,battery,3.80
4,11713,charging,1
4,12614,measurement,
4,12614,battery,3.81
4,12614,charging,1
4,13515,measurement,
4,13515,battery,3.80
4,13515,charging,1
4,14416,measurement,
4,14416,battery,3.80
4,14416,charging,1
4,15317,measurement,
4,15317,battery,3.80
4,15317,charging,1
4,16218,measurement,
4,16218,battery,3.80
4,16218,charging,1
4,17119,measurement,
4,17119,battery,3.80
4,17119,charging,1
4,18020,measurement,
4,18020,battery,3.80
4,18020,charging,1
4,18921,measurement,
4,18921,battery,3.80
4,18921,charging,1
4,19822,measurement,
4,19822,battery,3.80
4,19822,charging,1
4,20723,measurement,
4,20723,battery,3.81
4,20723,charging,1
4,21624,measurement,
4,21624,battery,3.80
4,21624,charging,1
4,22525,measurement,
4,22525,battery,3.81
4,22525,charging,1
4,23426,measurement,
4,23426,battery,3.80
4,23426,charging,0
4,24327,measurement,
4,24327,battery,3.80
4,24327,charging,0
4,25228,measurement,
4,25228,battery,3.80
4,25228,charging,0
4,26129,measurement,
4,26129,battery,3.81
4,26129,charging,0
4,27030,measurement,
4,27030,battery,3.80
4,27030,charging,0
4,27931,measurement,
4,27931,battery,3.81
4,27931,charging,0
4,28832,measurement,
4,28832,battery,3.80
4,28832,charging,0
4,29733,measurement,
4,29733,battery,3.81
4,29733,charging,0
4,30634,measurement,
4,30634,battery,3.81
4,30634,charging,0
4,31535,measurement,
4,31535,battery,3.81
4,31535,charging,0
4,32436,measurement,
4,32436,battery,3.80
4,32436,charging,0
4,33337,measurement,
4,33337,battery,3.80
4,33337,charging,0
4,34238,measurement,
4,34238,battery,3.80
4,34238,charging,0
4,35139,measurement,
4,35139,battery,3.80
4,35139,charging,0
4,36040,measurement,
4,36040,battery,3.80
4,36040,charging,0
4,36941,measurement,
4,36941,battery,3.80
4,36941,charging,0
4,37842,measurement,
4,37842,battery,3.80
4,37842,charging,0
4,38743,measurement,
4,38743,battery,3.80
4,38743,charging,0
4,39644,measurement,
4,39644,battery,3.80
4,39644,charging,0
4,40545,measurement,
4,40545,battery,3.80
4,40545,charging,0
4,41446,measurement,
4,41446,battery,3.80
4,41446,charging,0
4,42347,measurement,
4,42347,battery,3.80
4,42347,charging,0
4,43248,measurement,
4,43248,battery,3.80
4,43248,charging,0
4,44149,measurement,
4,44149,battery,3.80
4,44149,charging,0
0,0,system on,
0,0,battery,
3.81
0,0,system on,
0,0,battery,
3.81
0,901,measurement,
0,901,battery,3.80
0,901,charging,1
0,1802,measurement,
0,1802,battery,3.81
0,1802,charging,1
0,0,system on,
